Pleurocapsa_sp.	HA4230	KC525081.1	insd
Chakia_ciliosa	8	KC875345.1	insd
Pantanalinema_rosaneae	CENA517	KF246484.2	insd
Alkalinema_pantanalense	CENA531	KF246497.2	insd
Scytolyngbya_sp.	HA4215-MV1	KF307599.1	insd
Trichocoleus_desertorum	WJT8-NPBG3	KF307607.1	insd
Trichocoleus_desertorum	CMT-1BRIN-NPC4B	KF307619.1	insd
Symplocastrum_flechtnerii	WJT32-NPBGF	KF312349.1	insd
Goleter_apudmare	HA4340-LM2	KF417425.1	insd
Trichormus_anomalus	HA4352-LM2	KF417426.1	insd
Fischerella_muscicola	HA7617-LM2	KF417427.1	insd
Desmonostoc_vinosum	HA7617-LM4	KF417429.1	insd
Gloeocapsopsis_crepidinum	BDHKU_35101	KF498710.1	insd
Oculatella_kauaiensis	HA4348-LM3	KF761553.1	insd
Oculatella_mojaviensis	CMT-3BRINC87	KF761572.1	insd
Oculatella_atacamensis	ATA2-1-KO17	KF761580.1	insd
Oculatella_atacamensis	ATA3-4Q-KO2	KF761588.1	insd
Scytonema_sp.	CMT-1BRIN-NPC32	KF934173.1	insd
Johansenia_constricta	-	KJ140088.1	insd
uncultured_Streptostemon	-	KJ566946.1	insd
Dapisostemon_apicaliramis	CCIBt_3318	KJ566947.1	insd
Cyanocohniella_calida	CCALA_1049	KJ737427.1	insd
Chroococcus_turgidus	AICB61	KJ746515.1	insd
Plectolyngbya_sp.	WJT66-NPBG17	KJ939022.1	insd
Myxacorys_californica	WJT36-NPBG1	KJ939052.1	insd
Phormidesmis_sp.	WJT36-NPBG28	KJ939059.1	insd
Myxacorys_chilensis	ATA2-1-KO14	KJ939079.1	insd
Cartusia_fontana	KOVACIK_1999/1-LC	KJ939103.1	insd
Arthronema_africanum	SAG_12.89	KM019974.1	insd
Chamaesiphon_polonicus	SAG_32.87	KM019983.1	insd
Stanieria_sp.	SAG_27.84	KM019985.1	insd
Eucapsis_minor	SAG_14.99	KM019991.1	insd
Gomphosphaeria_aponina	SAG_52.96	KM019999.1	insd
Macrochaete_lichenoides	SAG_32.92	KM020001.1	insd
Stigonema_informe	-	KM047000.1	insd
Stigonema_ocellatum	-	KM047017.1	insd
Stigonema_panniforme	-	KM047020.1	insd
Petalonema_alatum	-	KM047021.1	insd
Cuspidothrix_issatschenkoi	RM-6	KM245027.1	insd
Roholtiella_edaphica	LG-S11	KM268888.1	insd
Roholtiella_mojaviensis	WJT36-NPBG5B	KM268893.1	insd
Ammassolinea_attenuata	UPOC_64/2013	KM491928.1	insd
Pinocchia_polymorpha	E5	KP640607.1	insd
Pinocchia_polymorpha	E10	KP640613.1	insd
Scytolyngbya_timoleontis	-	KP688590.1	insd
Leptolyngbya_sp.	CENA129	KP835533.1	insd
Macrochaete_psychrophila	TS40B/09	KR350574.1	insd
Limnolyngbya_circumcreta	-	KR697752.1	insd
Limnolyngbya_circumcreta	-	KR697758.1	insd
Macrochaete_santannae	CCALA_1093	KT336441.1	insd
Xenococcaceae_cyanobacterium	CENA315	KT731136.1	insd
Foliisarcina_bertiogensis	CENA331	KT731151.1	insd
Geitleribactron_purpureum	-	KT819293.1	insd
Geitleribactron_purpureum	-	KT819296.1	insd
Kyrtuthrix_huatulcensis	-	KT936560.1	insd
Komarkovaea_angustata	EY01-AM2	KU161652.1	insd
Kovacikia_muscicola	HA7619-LM3	KU161669.1	insd
