EF150792.1	Dermocarpella sp. HSC14	-	insd
EF429288.1	Leptolyngbya tenerrima UTCC 77	UTCC 77	insd
EF429291.1	Leptolyngbya boryana UTEX B 485	UTEX B 485	insd
EF429299.1	Leptolyngbya corticola CCALA 085	CCALA 085; TAKACOVA 1983/4	insd
EF654075.1	Microcoleus sp. SAG 2212	SAG 2212	insd
EU116035.1	Mastigocladus laminosus SAG 4.84	SAG 4.84	insd
EU528667.2	Nodosilinea conica	SEV4-5-c1	insd
EU528669.2	Nodosilinea bijugata	KOVACIK1986/5a	insd
EU532189.1	Aulosira bohemensis ISB-2	ISB-2	insd
EU552062.1	Cylindrospermopsis raciborskii CS-505	CS-505	insd
EU552070.1	Raphidiopsis brookii D9	D9	insd
EU586738.1	Microcoleus sp. TAA2-1A	TAA2-1A	insd
EU586739.1	Microcoleus sp. JO1-1A	JO1-1A	insd
EU586740.1	Microcoleus steenstrupii FI-LIZ3B	FI-LIZ3B	insd
EU852504.1	Phormidesmis priestleyi TM4LUS131	TM4LUS131	insd
FM161348.1	Sphaerospermopsis reniformis 06-01	-	insd
FN691922.1	Dolichospermum planctonicum 00-05	00-05	insd
FN691925.1	Dolichospermum spiroides 04-51	04-51	insd
FR774768.1	Cyanospira rippkae NMBCl	NMBCl	insd
FR774777.1	Cyanospira capsulata CCAX	CCAX	insd
FR848375.1	Aphanothece stagnina H7	H7	insd
GQ375046.1	Chroococcus sp. CCALA 701	CCALA 701	insd
GQ375047.1	Chroococcus minutus CCALA 055	CCALA 055	insd
GQ375048.1	Limnococcus limneticus Svet06	Svet06	insd
GQ859629.1	Anabaenopsis circularis PMC191.03	PMC191.03	insd
GQ859645.1	Planktolyngbya limnetica PMC271.06	PMC271.06	insd
GU238273.1	Blennothrix majus M5	-	insd
GU238276.1	Blennothrix glutinosa M17	-	insd
HE797730.1	Nunduva britannica CCAP 1445/1	VN8.BC 33/8	insd
HE797733.1	Microchaete tenera ACOI 630	630	insd
HF678499.1	Merismopedia glauca CCAP 1448/3	CCAP 1448/3	insd
HF678501.1	Trichormus variabilis ATCC 29413	CCAP 1403/13A	insd
HF911525.1	Scytonema javanicum U41-MK36	U41-MK36	insd
HG970652.1	Tolypothrix distorta ACOI 731	ACOI 731	insd
HG970655.1	Tolypothrix tenuis CCALA 197	CCALA 197	insd
HM018677.1	Nodosilinea epilithica str. Kovacik 1998/7	Kovacik 1998/7	insd
HM018688.1	Pegethrix olivacea GSE-PSE-MK46-15A	GSE-PSE-MK46-15A	insd
HM018689.1	Drouetiella hepatica Uher 2000/2452	Uher 2000/2452	insd
HM018690.1	Drouetiella lurida Lukesova 1986/6	Lukesova 1986/6	insd
HM018691.1	Timaviella obliquedivisa GSE-PSE-MK28-08A	GSE-PSE28-08A	insd
HM018692.1	Tildeniella nuda ZEHNDER 1965/U140	Zehnder 1965/U140	insd
HM105583.2	Pantanalinema rosaneae CCIBt1046	-	insd
HQ012540.1	Godleya alpina LCR-CY2	LCR-CY2	insd
HQ847561.1	Scytonematopsis contorta HA4292-MV4	HA4292-MV4	insd
JF810080.1	Chroococcidiopsis cubana SAG 39.79	SAG 39.79	insd
JN230345.1	Phormidium autumnale CCALA 697	CCALA 697	insd
JN385285.1	Pleurocapsa sp. HA4302-MV1	HA4302-MV1	insd
JN385293.1	Pelatocladus maniniholoensis HA4357-MV3	HA4357-MV3	insd
JN565276.1	Heteroscytonema cf. crispum UCFS16	UCFS16	insd
JN565281.1	Scytonema cf. fritschii UCFS22	UCFS22	insd
JN695681.1	Toxopsis calypsus PLF	PLF	insd
JN979962.1	Wilmottia murrayi KOVACIK-ANT 2003/11a	KOVACIK-ANT 2003/11a	insd
JN979963.1	Wilmottia murrayi KOVACIK-ANT 2004/75	KOVACIK-ANT 2004/75	insd
JQ004021.2	Limnothrix planktonica CHAB709	CHAB709	insd
JQ083652.1	Tolypothrix tenuis f. terrestris UFS-BI-NPMV-1A2-F06	UFS-BI-NPMV-1A2-F06	insd
JQ083654.1	Tolypothrix campylonemoides FI5-MK38	FI5-MK38	insd
JQ083655.1	Spirirestis rafaelensis WJT-71-NPBG6	WJT-71-NPBG6	insd
JQ083659.1	Scytonema sp. HAF2-B2-c1	HAF2-B2-c1	insd
JQ237771.1	Sphaerospermopsis aphanizomenoides 09-03	09-03	insd
KC525081.1	Pleurocapsa sp. HA4230	HA4230	insd
KC875345.1	Chakia ciliosa 8	8	insd
KF246484.2	Pantanalinema rosaneae CENA517	CENA517	insd
KF246497.2	Alkalinema pantanalense CENA531	CENA531	insd
KF307599.1	Scytolyngbya sp. HA4215-MV1	HA4215-MV1	insd
KF307607.1	Trichocoleus desertorum WJT8-NPBG3	WJT8-NPBG3	insd
KF307619.1	Trichocoleus desertorum CMT-1BRIN-NPC4B	CMT-1BRIN-NPC4B	insd
KF312349.1	Symplocastrum flechtnerii WJT32-NPBGF	WJT32-NPBGF	insd
KF417425.1	Goleter apudmare HA4340-LM2	HA4340-LM2	insd
KF417426.1	Trichormus anomalus HA4352-LM2	HA4352-LM2	insd
KF417427.1	Fischerella muscicola HA7617-LM2	HA7617-LM2	insd
KF417429.1	Desmonostoc vinosum HA7617-LM4	HA7617-LM4	insd
KF498710.1	Gloeocapsopsis crepidinum BDHKU 35101	BDHKU 35101	insd
